,category,filename,title,content
13,business,014.txt,Telegraph newspapers axe 90 jobs,daily sunday telegraph newspaper axing journalist job editorial staff telegraph group say cut needed fund £150m investment printing facility journalist firm friday afternoon discus react surprise announcement cut come background fierce competition reader sluggish advertising revenue amid competition online advertising national union journalist called management recall notice redundancy midday monday face strike ballot pearsons financial time said last week offering voluntary redundancy reporter national union journalist said stood strongly behind journalist rule strike manager torn agreed procedure kicked staff teeth sacking people printing facility said jeremy dear general secretary official barry fitzpatrick said company ignored 90day consultation period required company planning redundancy shown complete disregard consultative right member said fitzpatrick added company planned observe consultation procedure telegraph title currently employ journalist broadsheet newspaper especially moved tabloid format suffered circulation decline hitting revenue telegraph announced plan tabloid although independent time seen circulation rise since shrinking size guardian hedging bet planning larger tabloid format like popular continental europe telegraph group bought barclay twin frederick david last year previously owned lord conrad black hollinger international brother currently mulling sale another business retailer littlewoods telegraph executive murdoch maclennan said newspaper would eight colour page coming month journalist lifeblood newspaper maintaining quality daily telegraph sunday telegraph reader vital said however action improve production capability secure title competition also vital many newspaper investing printing machinery enables print colour page case colour every page hoping boosting colour make publication attractive advertiser reader alike recent month news corp news international unit publishes news world guardian medium group trinity mirror daily mail general trust announced substantial investment printing plant
14,business,015.txt,Air passengers win new EU rights,passenger unable board flight overbooking cancellation flight delay demand greater compensation rule compensation euro £173 euro depending length flight rule apply scheduled charter flight including budget airline airline attacked legislation saying could forced push price higher cover extra cost european commission facing legal challenge european lowfare airline association elaa international transport association iata attacked package piece legislation previously passenger could claim euro euro stopped boarding however scheduled flight operator obliged offer compensation case overbooking offer compensation flight cancellation decided increase passenger compensation deter airline deliberately overbooking flight overbooking often lead bumping passenger moved later flight happens passenger airline offer compensation addition flight cancelled delayed hour fault airline passenger must paid compensation however airline offer compensation flight cancelled delayed extraordinary circumstance airline fear extraordinary circumstance include weather security alert strike event outside control eubased airline operator flight take adhere compensation regime came force thursday lowcost airline criticised compensation level arguing payout could worth ticket preposterous piece legislation among airline fighting ryanair deputy chief executive michael cawley told radio today programme european region airline association eraa claim neither airline consumer consulted change andy clarke eraa director transport said advice misleads customer lead believe airline could liable payouts flight delayed weather spokeswoman marja quillinanmeiland conceded grey area said airline making case dispute national enforcement body would decide whether passenger case said technology mean easier airline take land weather added eraas clarke also warned airline would comply rule extra cost would passed onto passenger reckon going cost european passenger airline airline money paid passenger 15bn euro thats £1bn year loaded onto european passenger clarke said thats basically transfer money passenger whose journey disrupted passenger whose journey disrupted wednesday jacques barrot vice president european commission also commissioner transport said change necessary boom travel need accompanied proper protection passenger right concrete example union benefit people daily life added launched information campaign airport travel agency inform airline passenger right
15,business,016.txt,China keeps tight rein on credit,china effort stop economy overheating clamping credit continue 2005 state medium report curb introduced earlier year ward risk rapid expansion might lead soaring price also fear much stress might placed fragile banking system growth china remains breakneck corporate investment growing year breakneck pace economic expansion kept growth year rapid toolingup china manufacturing sector mean massive demand energy factor kept world price skyhigh year theory government growth target continues insist overshoot mean hard landing shape overbalancing economy exchange rate china yuan pegged rate dollar seems relentless decline mean chinese export cheap world market china thus resisted international pressure break link least shift level extent credit control seem taking effect industrial output grew year october february inflation slowed although retail sale still booming
16,business,017.txt,Parmalat boasts doubled profits,parmalat italian food group centre europe painful corporate scandal reported doubling profit pretax earnings fourth quarter euro £53m 100m period 2003 le welcome news firm fined euro violated takeover rule five year firm sought bankruptcy protection december 2003 disclosing 4bneuro hole account overall company debt close 12bn euro falling slowly brand wellknown italy overseas continued perform strongly however barely lost revenue since scandal broke crucial factor company future legal unwinding intensely complex financial position tuesday company administrator turnaround expert enrico bondi sued morgan stanley former banker return 136m euro relating 2003 bond deal brought number bank bondi sued mass legal action could bring much euro company also sued former auditor financial advisor damage criminal case company former management proceeding separately
17,business,018.txt,India's rupee hits five-year high,india rupee fiveyear high standard poor raised country foreign currency rating rupee climbed 43305 dollar thursday close 4341 currency gained almost past three session rate borrower creditworthiness lifted india rating notch indian asset seen le gamble cash expected flow market buoying rupee upgrade positive basically people excuse come back india said bhanu baweja strategist money moved india first three week january market like korea thailand upgrade lead reversal india foreign currency rating notch investment grade start increase level romania egypt salvador level russia
18,business,019.txt,India widens access to telecoms,india raised limit foreign direct investment telecom company communication minister dayanidhi maran said need fund fastgrowing mobile market government hope increase number mobile user million million 2007 need least 20bn £106bn investment part come foreign direct investment said maran decision raise limit foreign investor faced considerable opposition communist party give crucial support coalition headed prime minister manmohan singh potential foreign investor however need government approval increase stake beyond maran said position chief executive chief technology officer chief financial officer held indian added analyst investor welcomed government decision positive development carrier investment community looking take longerterm view huge growth indian telecom market said gartners principal analyst kobita desai relaxation coupled rapid local market growth could really ignite interest indian telecommunication industry added ernst young sanjay mehta investment bank morgan stanley forecast india mobile market likely grow year 2007 indian mobile market currently dominated four company bharti televentures allied singapore telecom essar linked hong kongbased hutchison whampoa sterling group tata group
19,business,020.txt,Call centre users 'lose patience',customer trying call centre getting impatient quicker hang survey suggests past welcome message caller average hang second listening canned music drop patience come number call call centre growing rate every year customer getting used idea always available society say cara diemont firm dimension data commissioned survey however call centre also sharp increase customer simply abandoning call say 2003 record last year automated phone message system taken equation customer pick multiple option message number abandoned call even higher sixth caller give rather wait possible reason lack patience diemont say fact customer calling move using mobile phone surge customer trying call centre also reflection centre growing range task call centre looked mortgage agent also responsible credit card insurance current account diemont say problem occurring increased responsibility going handinhand training survey found dimension data call alarming development average induction time call centre worker fell last year day leaving agent equipped deal customer diemont warns scary good bottom line either poor training frustrates call centre worker customer result call centre high churn rate nearly quarter worker throwing towel every year turn force company training staff resolution rate number call customer query resolved mutual satisfaction running query passed second third person specialist manager rate rise still well industry target resolution rate suggestion outsourcing relocating call centre lowcost country like india south africa blame wrong diemont say difference wait time call resolution call centre based europe north america developing country around world make call centre perform anywhere good management right process place say however company decide offshore operation driven cost consideration saving money main consideration closing domestic call centre operation half argue worker country offer better skill money everybody belief outsourcing offshoring solution nearly twothirds firm polled survey plan offshore call centre give three reason making move call centre operation part business core function worried risk going abroad fear damage brand join offshoring drive survey conducted sunovate behalf dimension data based indepth questionnaire call centre country five continent experience call centre happy listen vivaldi greensleeves want immediate response work call centre training prepare
20,business,021.txt,Rank 'set to sell off film unit',leisure group rank could unveil plan demerge film service unit sell medium business report claim rank formerly famous carry series expose shakeup announcement result friday sunday telegraph reported advisor goldman sachs understood valued demerged deluxe film unit £300m report added speculation possible shakeup mounted since rank announced study possible demerger september since mike smith appointment chief executive 1999 group focused fewer business embarked major costcutting programme seen dispose number business including odeon cinema chain pinewood studio move left group three core division gaming hard rock deluxe film provides technical service hollywood studio rank aim concentrate gaming bar hotel business including extending hard rock brand casino trial success also owns deluxe medium make distributes dvd video however business seen le successful last year made profit £215m turnover £3921m expert suggest success moving dvd video could make attractive target private equity buyer spokesman firm refused comment report said result demerger study likely unveiled result friday analyst predict firm likely report slight drop annual pretax profit £170m £194m last year formed 1940s firm leading film producer cinema owner many year diversified range leisure activity mainly including hotel roadside service area holiday centre owns grosvenor casino mecca bingo chain hard rock cafe country
21,business,022.txt,Sluggish economy hits German jobs,number people work europe largest economy risen tenth straight month growth remains stubbornly slow german unemployment rose 7000 november 4464 million people workforce seasonally adjusted rise showed smaller rise expected government measure encourage creation began take effect official said stagnant growth still stifling market clear sign revival domestic demand said frankjuergen weise head federal labour agency statement growth third quarter still insufficient deliver positive momentum labour market high price soaring euro damage competitiveness exporter also negative effect said brunt unemployment still felt eastern part germany rate unemployment stuck million year government chancellor gerhard schroeder creation agenda controversial package measure shake incentive back work paid cutting cherished benefit sparked anger among german worker strike number industry notably among country iconic carmaker demonstrated displeasure well fear loss outsourcing take hold among initiative socalled oneeuro job unemployment benefit scheme formal launch january hirings position already taking place affecting unemployment statistic economist said deterioration labour market come surprise said isabelle kronawitter hypovereinsbank creation measure probably prevented stronger increase seasonally adjusted number
22,business,023.txt,Mixed signals from French economy,french economy picked speed 2004 official figure show still look fallen short government hope according state statistic body insee growth three month december seasonallyadjusted 0708 ahead forecast confirmed would best quarterly showing since early 2002 leaf full year short french government predicted despite apparent shortfall annual economic growth good quarterly figure socalled flash estimate mark continuing trend improving indicator health french economy government reiterating target 2005 european central bank making positive noise 12nation eurozone whole also friday france industrial output december released showing growth number good said david naude economist deutsche bank send positive signal rebound output open continuation trend year service sector activity improved january hitting sevenmonth high unemployment remains high
23,business,024.txt,US trade gap hits record in 2004,export import alltime high 6717bn £484bn 2004 latest figure show commerce department said trade deficit last year previous record 2003s imbalance 4965bn deficit china 162bn largest ever recorded single country however monthly basis trade narrowed december £564bn consumer appetite thing imported car even wine cheese reached record level last year figure likely spark fresh criticism president bush economic policy democrat claim administration done enough clamp unfair foreign trade practice example believe china currency policy manufacturer claim undervalued yuan much given china rapidly expanding economy unfair advantage competitor meanwhile bush administration argues deficit reflects fact america growing faster rate rest world spurring demand imported good economist allow upward revision economic growth fourth quarter others point deficit reached astronomical proportion foreigner many choose hold many dollardenominated asset turn harm growth 2004 export rose trillion import rose even faster record trillion foreign export surged record 1807bn reflecting rally global price increasing domestic demand import affected dollar weakness last year expect deficit continue widen 2005 even dollar get back downward trend said economist mariepierre ripert ixis
24,business,025.txt,Yukos loses US bankruptcy battle,judge dismissed attempt russian giant yukos gain bankruptcy protection yukos filed chapter protection houston unsuccessful attempt halt auction yugansk division russian authority court ruling blow effort damage sale yugansk yukos claim illegally sold separately former yukos bos mikhail khodorkovsky began testimony friday trial fraud evasion khodorkovsky jail year pleaded guilty charge brought denied involvement criminal activity pride heading year number successful company helping enterprise rise knee told russian court yugansk auctioned help 275bn £145bn unpaid tax bought 94bn previouslyunknown group turn bought almost immediately statecontrolled company rosneft texas judge letitia clark said yukos enough presence establish jurisdiction vast majority business financial activity yukos continue occur russia judge clark said ruling activity require continued participation russian government yukos argued court entitled declare bankrupt yugansk unit sold since local bank account chief finance officer bruce misamore life houston yukos claimed sought help forum russian court european court human right either unfriendly offered le protection russia indicated would case abide ruling court ruling judge acknowledged appears likely agency russian government acted manner would considered confiscatory united state said role simply decide jurisdiction court jurisdiction challenged deutsche bank gazpromneft former unit russian monopoly gazprom merge rosneft analyst said ability gazprom rosneft trade freely overseas stifled ownership yugansk remained unclear yukos said would consider option light ruling however claimed court backed argument four five issue believe merit case strong simple said chief executive steven theede asset illegally seized want back damage paid
25,business,026.txt,Safety alert as GM recalls cars,world biggest carmaker general motor recalling nearly 200000 vehicle safety ground according federal regulator national highway traffic safety administration nhtsa said largest recall involves 155465 pickup van sport utility vehicle suv possible malfunction braking system affected vehicle product recall 2004 2005 model year said vehicle potential fault chevrolet avalanche express kodiak silverade suburban savana sierra yukon nhtsa said pressure accumulator braking system could crack normal driving fragment could injure people hood open could allow hydraulic fluid leak could make harder brake steer could cause crash warned also recalling 19924 cadillac coupe suv pontiac grand prix sedan 2004 model year accelerator pedal work properly extremely cold temperature requiring braking addition giant calling back 17815 buick ranier chevrolet trailblazer envoy isuzu ascender 2005 model year windshield properly fitted could fall crash however stressed know injury related problem news recall follows announcement last month expects earnings year lower 2004 world biggest maker grappling loss european business weak sale product recall january said higher healthcare cost north america lower profit financial service subsidiary would hurt performance 2005
26,business,027.txt,"Steel firm 'to cut' 45,000 jobs",mittal steel world largest steel producer could 45000 job next five year chief executive said netherlandsbased company complete 45bn acquisition firm next month making largest global firm kind however lakshmi mittal told investor combined company shed thousand job indianborn magnate loss would fall mittal told investor acquisition international steel group completed company would reduce workforce 7000 8000 annually could workforce trimmed 155000 110000 staff 2010 investing modernisation employee mittal told conference chicago mittal steel formed last year mittals holding merged dutch firm ispat combination mittal steel would annual sale 32bn £167bn 241bn euro production capacity million tonne mittal steel spokeman said decision cut made trying create sustainable steel industry want invest technology spokesman said mittal steel operation country many business particularly eastern europe previously state owned huge workforce employ 50000 staff kazakhstan alone large operation romania czech republic south africa united state
27,business,028.txt,Strong demand triggers oil rally,crude price surged back barrel mark thursday energy market watchdog raised forecast global demand international energy agency warned demand opec crude first quarter would outstrip supply raised estimate 2005 demand growth 80000 barrel million barrel light crude rose 4710 brent crude london gained 4445 parisbased watchdog advises industrialized nation energy policy said upward revision stronger demand china asian country fresh rally crude price followed gain wednesday triggered large fall crude supply following cold spell north america january department energy reported crude stockpile fallen barrel 2943m ongoing problem beleaguered russian giant yukos also prompted revise output estimate russia major nonopec supplier think price beginning range look like level said energy analyst orin middleton barclays capital
28,business,029.txt,UK firm faces Venezuelan land row,venezuelan authority said seize land owned british company part president chavez agrarian reform programme official cojedes state said friday farmland owned subsidiary vestey group would taken used settle poor farmer government cracking socalled latifundios large rural estate say lying idle vestey group said informed planned seizure firm whose agroflora subsidiary operates farm venezuela insisted complied fully venezuelan prosecutor south country targeted hato charcote beef cattle ranch owned agroflora according reuters plan seize 12900 acre 5200 hectare 32000 acre 13000 hectare farm official claim agroflora posse valid document proving ownership land question also allege area ranch used form active production legal boundary match actual boundary surplus state prosecutor alexis ortiz told reuters consequence government taken action controversial reform passed 2001 give government right take control private property declared idle ownership cannot traced back 19th century critic power president chavez argues needed help country poorest citizen develop venezuelan economy trample private property right vestey group said owned land since 1920 would cooperate fully authority spokesman added agroflora absolutely confident submitted demonstrate legality title land company pointed farm employ worker provides meat solely venezuelan market last month government said identified idle farm consider status 40000 authority said landowner whose title order whose farm productive nothing fear president chavez venezuelan government steadily expanded state involvement country economy recently said mining contract involving foreign firm would examined ensure provided sufficient economic benefit state
29,business,030.txt,Soaring oil 'hits world economy',soaring cost global economic growth although world major economy weather storm price rise according oecd latest biannual report oecd growth prediction world main industrialised region growth would reach 2004 fall next year previous estimate oecd said however parisbased economics think tank said believed global economy could still regain momentum forecast japanese growth also scaled back year 2005 outlook worst 12member eurozone bloc already sluggish growth forecast slipping year 2005 oecd said overall report forecast total growth 2004 member country oecd slipping next year recovering 2006 nonetheless good reason believe despite recent price turbulence world economy regain momentum nottoodistant future said jeanphilippe cotis oecds chief economist price crude higher start 2004 record high 5567 late october price improving job prospect would improve consumer confidence spending oecd said shock enormous historical standard seen worse seventy price rise think shock absorbed within next quarter vincent koen senior economist oecd told bbcs world business report recovery underway interrupted shock year would regain momentum course 2005 china booming economy spectacular comeback japan albeit faltered recent month would help world economic recovery oecd said supported strong balance sheet high profit recovery business investment continue north america start earnest europe added however report warned remains seen whether continental europe play strong supportive role marked upswing final domestic demand oecd highlighted current depressed household expenditure germany eurozones overreliance exportled growth
30,business,031.txt,Irish markets reach all-time high,irish share risen record high investor persuaded market inflation strong growth forecast iseq index leading share closed point 666189 thursday fuelled strong growth banking financial stock fall rate inflation january gave fresh boost share advanced month economy strong growth 2005 interest rate remain several ireland biggest company market value recent high thursday allied irish bank ireland biggest company capitalisation touched five year peak bank ireland share rose highest level since august 2002 telecom firm eircom recently revealed would reenter irish mobile phone market yearly high analyst said economic condition benign irish share still trading discount european market ireland tick box international investor concerned asher chief investment officer hibernian investment manager told reuters buoyant economic condition continue ireland next year irish equity continue offer quality growth reasonable valuation bernard mcalinden head equity research stockbroker said equity represented good value compared investment still looking good told reuters seen good economic data ireland benefit financial stock ireland economic miracle enjoying second wind growth forecast 2005 2006 economy cooled markedly 2001 2003 enjoying spectacular growth 2000 however bounced back strongly growth expected 2004
31,business,032.txt,Japanese banking battle at an end,japan sumitomo mitsui financial withdrawn takeover offer rival bank holding enabling latter merge mitsubishi tokyo sumitomo boss told counterpart decision friday clearing conclude trillion 29bn deal mitsubishi deal would create world biggest bank asset trillion trillion sumitomos exit end high profile fight japanese bank history holding japan fourthlargest bank centre fierce battle last year sumitomo japan thirdlargest bank tabled higher offer rival valuing company 35bn however ufjs management known prefer offer mitsubishi tokyo financial group mtfg japan secondlargest bank concern also raised sumitomos ability absorb former admitted defeat believe market investor accept ufjmtfg merger sumitomo said statement given ongoing integration mtfg operation persisting proposal best interest shareholder ufjs mitsubishis takeover japan largestever takeover deal still approved shareholder firm however expected formality sumitomo turn attention deepening tie daiwa security another japanese financial firm merge venture capital operation speculation could lead fullblown merger japanese bank increasingly seeking alliance boost profit
32,business,033.txt,Rich grab half Colombia poor fund,half money aside colombian government help country poor benefiting people need study found total trillion peso 102bn £55bn earmarked subsidy poor government department planning said also found trillion peso going richest part population rather need sound distribution cash could poverty level government belief resource enough reduce poverty need reform better distribution deputy planning director jose leibovich said colombia population million half life poverty line however large property paying le situated inside poor area benefit cheaper utility electricity water government research found government expenditure area pension public service education property health revised leibovich said added government examining report warned would easy solution problem good distribution subsidy economic growth 2019 poverty could fall said
33,business,034.txt,"Rover deal 'may cost 2,000 jobs'",2000 job rover midland plant investment firm chinese maker go ahead financial time reported shanghai automotive industry corp plan shift production rover china export source close negotiation tell rover told news report cut speculation tieup seen rover last chance save longbridge plant pushed chancellor gordon brown rover confirmed tieup would take place away time rover boss said confident £1bn 19bn investment deal would signed march early april transport general worker union general secretary tony woodley repeated view friday merger cut said investment model needed ensure future birmingham plant crucial delicate time effort targeted securing model company mean job people said saic say none money paid four owner rover accused union awarding exorbitant salary report saic extremely concerned ensure money used invest business rather distributed shareholder newspaper quote source close chinese firm meanwhile according chinese state press report small stateowned carmaker nanjing auto negotiation rover saic take stake joint venture saic unavailable comment cut contacted news rover saic signed technologysharing agreement august
